ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
46605
ITEM: BOX BOUNDS pp pp ff
0.0000000000000000e+00 7.5204971283511398e+01
0.0000000000000000e+00 7.6781222183235400e+01
0.0000000000000000e+00 1.2000000000000000e+02
ITEM: ATOMS id type c_pot c_ket
390 3 -8.82381 0.0202799
822 2 -35.6716 0.0155105
838 3 -9.3551 0.03532
6217 1 -8.89855 0.0195785
6191 1 -8.24515 0.0348446
6637 1 -8.90603 0.0435216
6172 2 -35.0153 0.0605783
6175 3 -8.4726 0.0610674
6177 3 -9.32749 0.0512118
6182 3 -9.01412 0.014944
6188 3 -9.20873 0.0115848
6614 1 -9.48528 0.0244799
6630 3 -8.38076 0.0400273
6194 1 -9.29867 0.00646969
6200 2 -35.4674 0.0234509
6203 3 -8.79908 0.0398971
6205 3 -8.74357 0.0783915
6210 3 -8.93158 0.0438738
6216 3 -9.26422 0.035038
6642 1 -9.06413 0.0655589
6658 3 -8.62432 0.0186985
6166 1 -9.12295 0.0282419
6171 2 -34.8926 0.0137567
6176 3 -8.7215 0.00664309
6178 3 -8.99314 0.00964274
6181 3 -9.06456 0.00243365
6187 3 -9.44328 0.0885935
6619 2 -35.7154 0.0720056
6624 3 -8.71332 0.0993084
6635 3 -9.18633 0.0625266
6193 1 -9.0537 0.0202799
6199 2 -34.9025 0.0158858
6204 3 -9.14251 0.0678794
6206 3 -9.07064 0.0288029
6209 3 -8.79521 0.0334812
6215 3 -9.13254 0.0151259
6647 2 -35.4253 0.0183221
6652 3 -8.77199 0.00674086
6663 3 -9.73665 0.0535805
6189 1 -8.63852 0.0143072
6165 1 -9.2455 0.0141219
6161 1 -8.61593 0.0308358
6665 1 -8.44086 0.0201454
6169 2 -35.1195 0.00782507
6174 3 -8.82793 0.00961671
6180 3 -8.96954 0.0599113
6183 3 -9.09584 0.0100072
6185 3 -9.29496 0.00807394
6631 3 -8.68632 0.0392
6197 2 -35.4679 0.0313683
6202 3 -8.47373 0.061997
6208 3 -9.04644 0.0205853
6211 3 -8.69256 0.00391606
6213 3 -9.0673 0.0241888
6659 3 -8.65707 0.0447353
6164 1 -8.53557 0.00241055
6638 1 -8.56859 0.0125686
6192 1 -8.71927 0.022549
6610 1 -8.61351 0.0228894
6190 1 -8.78402 0.0236948
6162 1 -8.55897 0.0472065
5825 1 -8.5807 0.00198611
6219 1 -8.51498 0.00489678
6221 1 -9.2813 0.0376185
6265 3 -8.61582 0.0228482
6260 3 -8.83592 0.0123336
416 3 -9.15312 0.0273732
402 2 -34.5294 0.049133
418 3 -9.83352 0.0249635
850 2 -34.2864 0.0188375
446 3 -9.40149 0.0697038
878 2 -34.4991 0.0864968
894 3 -9.46845 0.0158269
444 3 -8.92789 0.0441059
866 3 -9.75405 0.0313315
5827 1 -8.62839 0.013302
6222 1 -9.05873 0.0179289
6247 1 -8.37777 0.0505624
6693 1 -8.3008 0.0270604
6231 3 -9.5395 0.0990236
6228 2 -34.2266 0.0085844
6233 3 -9.09918 0.0252715
6245 1 -8.38725 0.0293447
6244 3 -9.52276 0.0795299
6238 3 -8.96821 0.0287894
6266 3 -8.73336 0.00350687
430 2 -34.6857 0.0200602
6670 1 -8.91035 0.0297806
6261 3 -9.12448 0.0389955
6714 3 -9.03756 0.055655
6686 3 -8.94167 0.00154291
6250 1 -9.04351 0.0237508
6232 3 -8.72966 0.0342197
6259 3 -8.8852 0.00583112
6272 3 -9.31425 0.0111775
6698 1 -9.07436 0.0153073
6243 3 -9.2206 0.0591612
6675 2 -35.1434 0.0144818
6227 2 -35.6029 0.0513887
6237 3 -8.95654 0.0279501
6234 3 -8.75403 0.027031
6256 2 -35.1076 0.0428807
6249 1 -8.8696 0.0303605
6703 2 -34.2409 0.0985394
6271 3 -9.30231 0.00331137
6262 3 -9.03592 0.0465937
6680 3 -8.64448 0.0286086
6255 2 -35.3987 0.0414311
6691 3 -9.66305 0.0617369
6708 3 -9.13844 0.00282286
6719 3 -9.44734 0.0348713
6269 3 -9.24311 0.0236174
6248 1 -8.70573 0.0466372
6666 1 -8.75103 0.00918097
6687 3 -8.80823 0.0280057
6230 3 -8.92444 0.0223775
6225 2 -35.4042 0.025432
6267 3 -8.24882 0.00297575
6264 3 -8.5814 0.0163574
6239 3 -8.51472 0.0748913
6715 3 -8.57304 0.0283399
6241 3 -9.22705 0.0141035
6236 3 -8.68947 0.00488112
6258 3 -9.36055 0.0812948
6220 1 -8.76472 0.0390479
6253 2 -35.0589 0.0135376
6694 1 -8.90222 0.0234828
6303 1 -8.46598 0.0608406
6289 3 -8.91071 0.0093349
6317 3 -9.03263 0.0273507
6290 3 -9.3089 0.0257359
6318 3 -8.50919 0.0490073
6331 1 -8.73423 0.0538701
6286 3 -9.19505 0.0433936
6314 3 -9.07909 0.00934303
6304 1 -8.82764 0.0491452
6276 1 -8.52749 0.0486687
472 3 -9.25521 0.00590472
906 2 -35.5861 0.00510746
920 3 -7.99871 0.00521137
922 3 -9.29671 0.0055721
500 3 -8.75407 0.0183068
934 2 -35.7889 0.0839671
948 3 -8.63784 0.0209959
950 3 -9.15795 0.0598695
6751 1 -9.07313 0.0556482
6779 1 -8.92358 0.0717653
6749 1 -8.62232 0.0265406
6284 2 -34.9731 0.0115921
6287 3 -8.97089 0.0506117
6300 3 -9.29261 0.0354095
6726 1 -9.12625 0.0343502
6732 2 -34.8692 0.0431466
6737 3 -9.07337 0.0579608
6742 3 -8.52408 0.0357367
6748 3 -9.65846 0.0428661
6312 2 -35.0984 0.108096
6315 3 -9.05749 0.0749327
6328 3 -9.05186 0.0559563
6754 1 -9.02843 0.038068
6760 2 -35.07 0.0396308
6765 3 -9.07876 0.029056
6770 3 -8.81911 0.0355202
6776 3 -8.8564 0.0816276
6293 3 -8.76589 0.0206877
6731 2 -34.9108 0.059634
6736 3 -8.80219 0.0461349
6738 3 -9.13758 0.0123514
6741 3 -8.83768 0.0414322
6747 3 -9.28707 0.0102103
6305 1 -9.23744 0.0330893
6321 3 -8.5486 0.0995287
6753 1 -9.18192 0.0885837
6759 2 -35.4069 0.0258046
6764 3 -9.00396 0.042063
6766 3 -8.96188 0.0573542
6769 3 -9.01315 0.0105751
6775 3 -9.28314 0.025764
6725 1 -8.99998 0.0742723
6277 1 -9.08279 0.0457383
6333 1 -9.09154 0.0114677
6281 2 -35.2571 0.00285981
6292 3 -8.84794 0.00740624
6297 3 -9.30745 0.0342655
6729 2 -35.1646 0.065626
6734 3 -8.63009 0.0764663
6743 3 -8.96051 0.0727849
6745 3 -9.53164 0.0236547
6309 2 -35.2343 0.0526376
6320 3 -8.86737 0.0387339
6325 3 -9.2799 0.0287764
6757 2 -34.8511 0.0560681
6762 3 -8.99139 0.0554409
6771 3 -8.24196 0.0997286
6773 3 -9.27501 0.035855
6750 1 -8.76732 0.0684014
6752 1 -8.75389 0.0812578
6722 1 -8.5845 0.0068806
6724 1 -8.53693 0.007874
6359 1 -8.71463 0.038277
6374 3 -9.0836 0.0794584
6373 3 -8.80949 0.0188452
6345 3 -8.98619 0.055104
6346 3 -8.93121 0.0245065
6387 1 -8.83293 0.0717254
6360 1 -8.44726 0.0194511
6332 1 -8.65606 0.0229882
6342 3 -8.78271 0.0446824
6370 3 -8.7462 0.00312512
1006 3 -9.37581 0.0493789
6793 3 -8.57756 0.00181371
6809 1 -9.21035 0.0450848
6810 1 -9.57093 0.0244965
6816 2 -35.7431 0.0185437
6825 3 -8.93755 0.0428536
1004 3 -8.81418 0.00780182
6822 3 -8.64353 0.0230686
6781 1 -8.82399 0.0458926
6788 2 -35.4558 0.0296333
6797 3 -8.61502 0.00114735
6832 3 -9.19337 0.00559773
976 3 -8.90613 0.000794751
6361 1 -9.05301 0.0451494
6782 1 -9.15476 0.0212078
6340 2 -35.4041 0.046806
528 3 -8.67655 0.014333
6807 1 -8.78181 0.0703568
6798 3 -8.36435 0.0153652
6384 3 -8.90449 0.00687653
6343 3 -8.8418 0.0538438
962 2 -35.4308 0.109505
6815 2 -35.2362 0.0346239
6377 3 -8.84971 0.0705923
6777 1 -8.72247 0.0739929
6792 3 -8.8107 0.0368925
6831 3 -9.21811 0.00560688
6349 3 -8.93259 0.0446143
6820 3 -8.93584 0.0376286
6371 3 -8.40955 0.022258
6368 2 -35.7929 0.00221363
6787 2 -35.2894 0.0441242
6821 3 -8.15526 0.00284752
6805 1 -8.86943 0.0060937
6826 3 -8.17883 0.036831
6356 3 -9.17237 0.047301
6804 3 -9.32626 0.109501
6835 1 -8.85624 0.0517794
6794 3 -9.05907 0.0674527
556 3 -8.67339 0.0278022
990 2 -35.519 0.0218219
978 3 -9.37471 0.0280405
6803 3 -9.44768 0.0350779
6833 1 -8.90287 0.00928451
6353 3 -9.32131 0.0393907
6376 3 -9.02488 0.00341796
6827 3 -9.12753 0.0316739
6808 1 -8.47026 0.0621653
6813 2 -34.8757 0.0398682
6365 2 -35.5216 0.0348804
6799 3 -8.96104 0.0206384
6801 3 -9.33738 0.00997645
6790 3 -8.65741 0.0344992
6806 1 -8.55805 0.0449015
6780 1 -8.54973 0.0112248
6818 3 -9.3196 0.0353141
6778 1 -8.57181 0.0275745
6785 2 -35.1784 0.0634015
6829 3 -9.59627 0.0913094
6381 3 -9.46075 0.00525773
6337 2 -35.3353 0.0372153
6348 3 -8.9023 0.00617173
6415 1 -8.73783 0.0241907
6401 3 -8.95224 0.0269096
6429 3 -8.99385 0.0179338
6402 3 -8.93881 0.019929
6430 3 -9.01184 0.0308189
6443 1 -8.51684 0.0410413
6398 3 -9.43906 0.00358193
6426 3 -9.01209 0.0341503
6388 1 -8.36426 0.00737034
6416 1 -8.50347 0.0209163
584 3 -8.45016 0.0379457
1018 2 -35.6016 0.0652073
1032 3 -8.83222 0.0224807
1034 3 -9.08539 0.0534094
612 3 -8.67718 0.040952
1046 2 -35.332 0.0393236
1060 3 -8.56522 0.0260547
1062 3 -9.44659 0.0137646
6889 1 -8.48099 0.0563957
6891 1 -8.43387 0.055961
6863 1 -8.81244 0.0669625
6861 1 -8.75919 0.00928932
6396 2 -35.3612 0.0872555
6399 3 -8.93384 0.0190759
6412 3 -9.22638 0.0329592
6838 1 -9.46812 0.0284874
6844 2 -35.4559 0.00314249
6849 3 -8.2837 0.0119127
6854 3 -8.34713 0.0409466
6860 3 -9.20571 0.0345959
6424 2 -34.9796 0.00334216
6427 3 -9.13634 0.0511457
6440 3 -9.36971 0.0410319
6866 1 -8.9232 0.0133918
6872 2 -35.024 0.0421913
6877 3 -9.39289 0.0200116
6882 3 -8.57975 0.0339811
6888 3 -9.19401 0.0129326
6843 2 -35.5355 0.0225241
6848 3 -8.75285 0.0738473
6850 3 -8.77857 0.0662931
6853 3 -9.28856 0.0249911
6859 3 -9.42676 0.0114833
6417 1 -8.89681 0.0864281
6865 1 -9.06101 0.00188988
6871 2 -35.0708 0.0279163
6876 3 -9.1557 0.0113813
6878 3 -9.13971 0.00731529
6887 3 -9.3709 0.0292506
6405 3 -8.97216 0.0166375
6881 3 -9.07337 0.0178084
6433 3 -9.08163 0.0255994
6389 1 -9.13129 0.0412174
6837 1 -9.17488 0.0331644
6445 1 -9.0839 0.028607
6393 2 -34.7588 0.0792763
6404 3 -8.86964 0.00375897
6409 3 -9.12142 0.0379634
6841 2 -35.0855 0.0761244
6846 3 -8.68609 0.0127567
6855 3 -8.8049 0.0222198
6857 3 -9.54729 0.0300326
6421 2 -34.5859 0.0179113
6432 3 -9.19728 0.017006
6437 3 -9.57864 0.000653487
6862 1 -8.48444 0.0358346
6869 2 -35.4861 0.0235772
6874 3 -8.79484 0.0227268
6883 3 -8.83243 0.0145646
6885 3 -9.51759 0.0672967
6834 1 -8.58113 0.0130089
6836 1 -8.39026 0.0326376
6864 1 -8.46529 0.0253725
6471 1 -8.52445 0.0426051
6457 3 -8.55704 0.0248575
6485 3 -9.19813 0.133543
6486 3 -8.81471 0.0210647
6458 3 -8.61434 0.0290358
6499 1 -8.80928 0.0146792
6472 1 -8.3189 0.0185843
6444 1 -8.53692 0.0125047
6482 3 -9.4078 0.132442
6454 3 -9.18218 0.00236771
6893 1 -8.8912 0.110476
6917 1 -8.71361 0.027848
640 3 -8.8094 0.0722184
1074 2 -35.283 0.0553973
6928 2 -35.1256 0.016324
6927 2 -34.4737 0.0768385
6899 2 -35.0702 0.0300783
6916 3 -9.49084 0.0144573
1088 3 -8.4494 0.0319209
1090 3 -9.34779 0.0179156
6919 1 -8.76604 0.0424336
6932 3 -8.86855 0.0765814
6937 3 -9.06596 0.028881
6938 3 -8.45715 0.0425016
1118 3 -9.33602 0.0120045
1116 3 -8.79007 0.0148253
6905 3 -9.22048 0.0398866
6468 3 -9.29364 0.0265509
6922 1 -8.92685 0.0357091
6489 3 -8.74279 0.0594283
6921 1 -8.63012 0.0146664
6452 2 -35.5912 0.00993498
6473 1 -9.205 0.154746
6933 3 -9.33915 0.0399898
6496 3 -9.28994 0.0015391
6900 2 -35.044 0.004661
6909 3 -9.09341 0.0314223
6915 3 -9.67613 0.0104939
6910 3 -9.09567 0.00891822
6483 3 -9.01688 0.0429737
6455 3 -8.74423 0.0332295
6461 3 -9.09093 0.00391408
6906 3 -8.87119 0.0104754
6904 3 -9.03938 0.0119061
1102 2 -35.4011 0.0131248
6944 3 -9.10211 0.00628277
6945 1 -8.66215 0.0255139
6480 2 -34.7118 0.041646
6934 3 -9.62697 0.0157013
668 3 -8.94103 0.0115541
6894 1 -9.06609 0.0439558
6943 3 -9.61039 0.0717466
6913 3 -9.20617 0.0243259
6890 1 -8.22745 0.0126677
6918 1 -8.76857 0.0240323
6925 2 -34.0568 0.00357402
6939 3 -8.95443 0.00892605
6902 3 -9.29428 0.00251645
6465 3 -9.9044 0.0867232
6493 3 -9.55292 0.0215313
6897 2 -34.5381 0.0463476
6460 3 -9.2092 0.0546298
6488 3 -9.071 0.00619384
6449 2 -34.586 0.0367106
6892 1 -8.51153 0.0478192
6930 3 -9.79193 0.00901063
6477 2 -34.4692 0.00857156
6941 3 -9.94182 0.0324797
6920 1 -8.21911 0.112496
6911 3 -9.06476 0.0469393
6527 1 -8.4753 0.0184329
6513 3 -9.20338 0.0201965
6541 3 -8.74656 0.0645563
6514 3 -9.15337 0.0225172
6542 3 -9.13087 0.00426427
6510 3 -9.32406 0.0353193
6538 3 -8.96021 0.0871645
6500 1 -8.47147 0.0367311
6528 1 -8.40735 0.00711019
696 3 -8.86275 0.014038
1130 2 -35.2197 0.0481062
1144 3 -8.87325 0.0181194
1146 3 -9.36483 0.0153861
724 3 -8.93817 0.152299
1158 2 -35.0752 0.00416387
1172 3 -9.04746 0.0300404
1174 3 -9.20556 0.0231642
6973 1 -8.5031 0.0196966
6975 1 -8.54028 0.0472548
6508 2 -35.2605 0.0183151
6511 3 -8.82657 0.014395
6524 3 -9.147 0.0115135
6950 1 -9.0357 0.0260469
6956 2 -34.9003 0.0163294
6961 3 -9.0841 0.0133934
6966 3 -8.54159 0.0124754
6972 3 -9.64967 0.0155638
6536 2 -34.9851 0.0218091
6539 3 -9.16033 0.0175582
6552 3 -9.57399 0.00615813
6978 1 -8.83406 0.0334129
6984 2 -34.8024 0.0123123
6989 3 -9.14964 0.0307582
6994 3 -9.16339 0.0302802
7000 3 -9.46581 0.0353589
6517 3 -8.78706 0.0325533
6955 2 -34.4448 0.0100176
6960 3 -9.05555 0.0532674
6962 3 -9.2285 0.0335537
6965 3 -9.39857 0.00290509
6971 3 -9.64604 0.0634734
6529 1 -9.00451 0.0164878
6977 1 -8.7273 0.0133053
6983 2 -34.7669 0.0443562
6988 3 -8.83627 0.0339854
6990 3 -9.5442 0.019324
6999 3 -8.99031 0.0461881
6993 3 -8.80131 0.0161949
6545 3 -8.66311 0.00573454
6949 1 -8.87267 0.0354451
7001 1 -8.69324 0.0847058
6501 1 -8.89902 0.021646
6947 1 -8.50505 0.0398651
6505 2 -34.3283 0.0382083
6516 3 -9.24163 0.0891989
6521 3 -9.90689 0.0776013
6953 2 -34.5804 0.0397238
6958 3 -9.1025 0.034845
6967 3 -8.96899 0.0274907
6969 3 -9.71694 0.0301502
6533 2 -35.2412 0.00901467
6544 3 -8.9408 0.00503449
6549 3 -9.75501 0.0636752
6981 2 -35.0331 0.0849596
6995 3 -8.70331 0.0243898
6997 3 -9.58129 0.0135626
6974 1 -8.73635 0.016304
6976 1 -8.48872 0.00607305
6946 1 -8.47856 0.0202103
6948 1 -8.39264 0.037283
6611 1 -8.64166 0.0528747
6555 1 -8.41976 0.0523411
6570 3 -9.10418 0.00515252
6598 3 -8.90226 0.0669839
6597 3 -8.87057 0.0418053
6583 1 -8.7609 0.0241306
6569 3 -9.0288 0.025497
6594 3 -8.65683 0.0831807
6556 1 -8.20896 0.0379802
6584 1 -8.70842 0.0173442
6566 3 -9.08065 0.0112857
6613 1 -9.28048 0.017468
6557 1 -9.2155 0.0539098
7018 3 -9.25831 0.0269404
7027 3 -9.77294 0.0306569
7003 1 -8.74546 0.0246392
7016 3 -9.03557 0.0247854
7059 1 -8.5178 0.0542796
7006 1 -8.96345 0.00707477
7046 3 -9.14307 0.0297289
6592 2 -35.3711 0.0266049
6580 3 -9.51055 0.0024855
1230 3 -9.2531 0.129457
752 3 -8.67167 0.0222292
7021 3 -9.18973 0.0564077
6573 3 -9.37822 0.054606
7005 1 -8.96775 0.0626442
6585 1 -8.95165 0.0324192
6567 3 -9.0872 0.113448
7049 3 -9.12301 0.0400968
1200 3 -8.60112 0.0466928
6601 3 -8.66019 0.00818982
7011 2 -35.0434 0.0191382
7012 2 -35.3655 0.0441077
7031 1 -8.70611 0.0699067
7045 3 -8.97419 0.0198262
780 3 -8.55883 0.0410479
7039 2 -34.3779 0.0278604
7034 1 -9.04635 0.0200476
7040 2 -34.4345 0.0141558
1228 3 -9.27858 0.00694075
7055 3 -9.46946 0.0164096
7044 3 -9.10743 0.0418779
7017 3 -8.85365 0.0150326
1202 3 -9.57904 0.0438008
6595 3 -8.8603 0.0621985
1186 2 -35.1256 0.0530038
1214 2 -35.351 0.0163991
6564 2 -35.0601 0.0439393
7029 1 -8.70131 0.0534727
7056 3 -9.66154 0.0247124
6608 3 -9.13927 0.0229979
7022 3 -8.71268 0.0196888
7050 3 -8.78132 0.00857193
7028 3 -9.22902 0.00825836
7033 1 -8.90855 0.0243346
7014 3 -9.3825 0.0271532
6600 3 -9.05337 0.0110987
6561 2 -34.9144 0.0170788
6589 2 -35.4889 0.0184931
7009 2 -34.8301 0.0287817
6605 3 -9.20574 0.00690114
6572 3 -9.31096 0.0614411
7032 1 -8.43958 0.021382
7051 3 -9.20246 0.0372321
6577 3 -9.57964 0.0223332
7037 2 -35.0101 0.086297
7053 3 -9.39825 0.0138453
7030 1 -8.49145 0.0332197
7025 3 -9.53273 0.0278153
7004 1 -8.14558 0.0144977
7023 3 -9.1031 0.0834944
7002 1 -8.13477 0.0653803
7042 3 -8.75154 0.0258698
6639 1 -9.06906 0.00746746
6625 3 -8.5678 0.0256083
6653 3 -9.18556 0.0836248
6626 3 -8.67347 0.0610841
6654 3 -8.98689 0.0405088
6612 1 -8.79235 0.0105854
6622 3 -8.76102 0.0142581
6650 3 -9.37009 0.00966418
6640 1 -8.56344 0.0417475
808 3 -8.44273 0.00853886
1242 2 -35.6427 0.0482853
1256 3 -9.01881 0.0244619
1258 3 -9.01232 0.0758741
836 3 -8.64556 0.0569293
1270 2 -36.0834 0.00573103
1284 3 -8.31998 0.0453364
1286 3 -8.90345 0.0682103
7087 1 -8.7492 0.0462316
7085 1 -9.10882 0.0164639
7113 1 -8.63325 0.0573638
7057 1 -8.76684 0.0359158
6620 2 -35.8872 0.00150606
6623 3 -8.4123 0.0371022
6636 3 -9.11556 0.0347701
7062 1 -9.37545 0.0656498
7068 2 -35.1755 0.0832434
7073 3 -8.55611 0.0587235
7078 3 -8.73624 0.0265417
7084 3 -9.40699 0.0229919
6648 2 -34.7619 0.0443128
6651 3 -9.27832 0.0209072
6664 3 -8.79633 0.043338
7090 1 -9.27588 0.0480456
7096 2 -36.0237 0.0596451
7101 3 -8.23926 0.0171083
7106 3 -8.46996 0.019444
7112 3 -9.25015 0.0218629
7067 2 -35.1846 0.0501685
7072 3 -8.74531 0.0378893
7074 3 -8.84948 0.00604781
7077 3 -8.44384 0.030708
7083 3 -9.31745 0.0343728
6641 1 -9.52111 0.0121617
7089 1 -9.4522 0.0754247
7095 2 -35.182 0.0279242
7100 3 -8.81728 0.0114769
7102 3 -8.89772 0.026812
7105 3 -8.61251 0.0473161
7111 3 -9.61461 0.0123036
6657 3 -9.04744 0.0500216
6629 3 -8.45147 0.140864
7061 1 -9.18003 0.111497
6617 2 -35.7686 0.00392986
6628 3 -8.68015 0.0404157
6633 3 -9.16265 0.0465338
7065 2 -35.5015 0.0358434
7070 3 -8.79699 0.0253383
7079 3 -8.7823 0.0969147
7081 3 -9.20532 0.00462713
6645 2 -34.8902 0.0174211
6656 3 -8.99495 0.0180409
6661 3 -8.98568 0.00499323
7093 2 -35.5677 0.0119313
7098 3 -9.00072 0.0399293
7107 3 -8.5929 0.0460523
7109 3 -9.27986 0.00937169
7060 1 -8.79249 0.0402286
7058 1 -8.71078 0.0348967
7088 1 -8.65627 0.026149
7086 1 -8.57226 0.00707553
6667 1 -8.45576 0.00942131
6695 1 -8.40064 0.0731921
6275 1 -8.54065 0.153271
6709 3 -9.26932 0.0624868
6681 3 -9.08864 0.0149111
6682 3 -8.99388 0.0666554
6710 3 -9.45648 0.0373881
6706 3 -8.851 0.0204566
6696 1 -8.64783 0.0463409
6668 1 -8.71223 0.0255697
6678 3 -8.88397 0.0192647
864 3 -9.17222 0.0185915
7130 3 -8.92188 0.0158918
7129 3 -8.91744 0.0384856
7156 3 -8.97732 0.0444222
7161 3 -9.03219 0.038364
6707 3 -9.2863 0.0710384
1301 3 -8.14397 0.0509182
7134 3 -8.7355 0.00779607
1312 3 -8.21789 0.007543
6721 1 -8.76318 0.0159099
7151 2 -35.2866 0.122697
7139 3 -9.29277 0.0449403
7117 1 -9.33747 0.0345512
6669 1 -8.68765 0.0182571
7124 2 -35.845 0.0431335
7143 1 -8.64768 0.0410376
7162 3 -8.67499 0.0252665
7168 3 -8.95752 0.0203968
1326 2 -35.4554 0.0269479
6676 2 -34.4474 0.0127388
7157 3 -8.81432 0.0143796
6720 3 -9.36783 0.0834489
6697 1 -8.94897 0.00684183
6723 1 -8.56751 0.0909635
1298 2 -35.1378 0.0388302
7146 1 -9.02885 0.0118985
6692 3 -9.78303 0.0357235
6704 2 -34.6736 0.0559051
7141 1 -8.69336 0.023161
7140 3 -8.97909 0.0335908
1340 3 -8.645 0.00465949
7115 1 -9.17719 0.0875642
1314 3 -9.41491 0.00753621
1342 3 -9.33689 0.0540513
7118 1 -9.04224 0.0773769
892 3 -8.67236 0.0212481
7145 1 -9.20037 0.0430632
7152 2 -35.9107 0.0123367
6679 3 -8.99465 0.0514507
7128 3 -9.42082 0.088693
7167 3 -9.31576 0.0568606
7133 3 -8.9542 0.0161879
7123 2 -34.6759 0.00913472
6685 3 -8.79639 0.0265719
7158 3 -8.84487 0.0271479
6713 3 -8.72946 0.073832
7137 3 -9.13906 0.05774
7154 3 -8.76306 0.0164228
7142 1 -8.66733 0.0388705
6717 3 -9.32085 0.0762496
7126 3 -9.07214 0.0906191
7165 3 -9.59556 0.0111799
6684 3 -8.95712 0.0551539
7116 1 -8.79495 0.0142409
7144 1 -8.43603 0.0145078
7114 1 -8.76417 0.0244344
7149 2 -34.7662 0.00735214
6689 3 -9.25307 0.0881713
6701 2 -35.2701 0.0114783
6712 3 -8.99798 0.0856931
7163 3 -8.87265 0.0733876
7135 3 -8.66462 0.00396117
7121 2 -34.9579 0.052005
6673 2 -35.1845 0.00904505
7225 1 -8.43601 0.100252
7197 1 -9.1582 0.0119889
6735 3 -8.96878 0.0270044
6763 3 -9.16982 0.0776307
7184 3 -9.38143 0.0182101
7212 3 -8.69495 0.0344743
7174 1 -9.18166 0.0155601
7218 3 -8.44069 0.0220566
7223 3 -9.08275 0.0173084
7179 2 -34.9945 0.0453253
6740 3 -9.15779 0.0234654
6768 3 -8.98324 0.056686
7170 1 -8.40799 0.0554284
7198 1 -8.64027 0.0569442
7191 3 -9.01308 0.0519889
7219 3 -8.98833 0.0109826
1354 2 -35.6836 0.0544641
1370 3 -9.09176 0.0561126
1398 3 -9.60226 0.0304989
1382 2 -35.2293 0.0501981
1368 3 -8.55641 0.046451
1802 2 -34.6586 0.0552513
1818 3 -9.61998 0.0141812
1396 3 -8.6661 0.0309954
1830 2 -34.3293 0.0429416
1846 3 -9.84353 0.119316
7673 1 -8.8151 0.0524989
7199 1 -8.86387 0.0280794
7645 1 -8.3979 0.0422114
7180 2 -35.651 0.0374511
7183 3 -9.02475 0.0535272
7185 3 -8.49193 0.0290047
7196 3 -8.99975 0.0505503
7622 1 -8.87748 0.0410166
7638 3 -9.26759 0.0383727
7208 2 -35.3511 0.068631
7211 3 -8.79759 0.0536132
7213 3 -8.75284 0.00205238
7224 3 -9.42323 0.023693
7650 1 -9.10115 0.0406926
7666 3 -9.11401 0.0547299
7186 3 -8.69142 0.0204256
7189 3 -8.93446 0.0604573
7627 2 -35.1566 0.0253878
7632 3 -8.71168 0.0712853
7643 3 -9.47519 0.0284894
7201 1 -9.25016 0.0196131
7214 3 -8.88093 0.00870327
7217 3 -8.56729 0.0515323
7655 2 -35.0446 0.00919599
7660 3 -8.7559 0.0534138
7671 3 -9.30518 0.01528
7173 1 -9.39609 0.077567
7207 2 -35.4502 0.0400495
7195 3 -9.34437 0.0846108
7227 1 -8.92384 0.0749059
7190 3 -8.57848 0.0149422
7202 1 -9.18681 0.0280988
7177 2 -34.6175 0.0379457
7182 3 -9.26587 0.0145668
7188 3 -9.18749 0.023941
7193 3 -9.63944 0.0467255
7639 3 -9.14682 0.0468793
7205 2 -35.4512 0.0677197
7210 3 -9.11976 0.00259805
7216 3 -8.41614 0.0348748
7221 3 -9.46229 0.0136381
7667 3 -8.81213 0.0361856
7618 1 -8.41597 0.0395032
7172 1 -8.44277 0.0191859
7646 1 -8.77949 0.00434659
7200 1 -8.55446 0.000604905
7235 2 -34.9909 0.0592429
7230 1 -9.05489 0.0233527
1438 2 -35.4475 0.00973134
7279 3 -9.31781 0.0398907
7246 3 -8.52265 0.0118231
1454 3 -9.47361 0.0217167
1410 2 -35.6324 0.043704
7268 3 -8.7436 0.00900725
6791 3 -8.87773 0.00196902
6819 3 -8.98136 0.140504
7240 3 -9.49129 0.0450817
7253 1 -8.53686 0.014093
7226 1 -8.4117 0.0105232
7275 3 -8.62794 0.0259145
6824 3 -8.92927 0.029568
7254 1 -8.50637 0.0183068
6796 3 -9.20192 0.0973498
1424 3 -8.42681 0.0019649
7255 1 -9.08591 0.02225
7252 3 -8.84289 0.0634171
7727 3 -9.28062 0.0670722
7258 1 -9.21659 0.0210079
7241 3 -8.51186 0.0475679
1858 2 -35.6517 0.0154478
7263 2 -35.7381 0.00474525
7267 3 -8.80561 0.0272668
1452 3 -8.7204 0.0379285
1874 3 -9.30882 0.0266541
7251 3 -9.51059 0.0927881
7236 2 -36.0162 0.0315233
7711 2 -35.4098 0.129133
7245 3 -8.25591 0.0146846
7683 2 -35.397 0.0172162
7699 3 -9.09336 0.0535348
7706 1 -9.26192 0.0267716
7270 3 -8.21085 0.0176308
7722 3 -8.99957 0.0310627
7716 3 -8.83133 0.00801389
1426 3 -9.21536 0.0299321
7229 1 -9.31916 0.0186314
7701 1 -8.62522 0.0111063
7269 3 -9.09596 0.00895243
7273 3 -8.55926 0.00594412
7688 3 -8.52431 0.0344808
7242 3 -8.84285 0.0435688
7239 3 -8.5742 0.0133915
1902 3 -8.91222 0.0133072
7280 3 -9.10286 0.0165392
